"NUMERO_VIAGEM";"NUMERO_PEDIDO";"NUMERO_REMESSA";"CNPJ_EXPEDIDOR";"NOME_EMBARCADOR";"IE_EMBARCADOR";"LOGRADOURO_EMBARCADOR";"BAIRRO_EMBARCADOR";"CIDADE_EMBARCADOR";"CEP_EMBARCADOR";"NOME_DESTINATARIO";"NUMERO_DOCUMENTO_DESTINATARIO";"IE_DESTINATARIO";"LOGRADOURO_DESTINATARIO";"BAIRRO_DESTINATARIO";"CIDADE_DESTINATARIO";"CEP_DESTINATARIO";"CODIGO_MUNICIPIO_DESTINATARIO";"NOME_TOMADOR";"NUMERO_DOCUMENTO_TOMADOR";"IE_TOMADOR";"LOGRADOURO_TOMADOR";"BAIRRO_TOMADOR";"CIDADE_TOMADOR";"CEP_TOMADOR";"CODIGO_MUNICIPIO_TOMADOR";"TIPO_PESSOA_DESTINATARIO";"TIPO_FRETE";"SERIE_NOTA";"NUMERO_NOTA";"DATA_EMISSAO";"CHAVE_ACESSO_NOTA";"NATUREZA_MERCADORIA";"ACONDICIONAMENTO_MERCADORIA";"QUANTIDADE_VOLUMES";"VALOR_REMESSA";"PESO";"CHAVE_ACESSO_CTE";"CNPJ_BASE_ORIGEM";"CNPJ_BASE_DESTINO";"PLACA_VEICULO";"NOME_MOTORISTA"
"6768902";;"04253174178131";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"740199";"14112025";"15251100776574194503550040007401991608739324";"DIVERSOS";"CAIXA";"1";"      4056,56";"         1,04";"15251115121491002735570080005348721250453390";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253033123734";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"725149";"31102025";"15251000776574194503550040007251491312165625";"DIVERSOS";"CAIXA";"1";"      2321,19";"          ,81";"15251115121491002735570080005268321949717993";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440408";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730319";"04112025";"15251100776574194503550040007303191337566026";"DIVERSOS";"CAIXA";"1";"      3803,16";"          ,66";"15251115121491002735570080005268121989554545";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253174177881";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"740452";"14112025";"15251100776574194503550040007404521309787602";"DIVERSOS";"CAIXA";"1";"       806,87";"          ,17";"15251115121491002735570080005348671106803176";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253174178131";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"740189";"14112025";"15251100776574194503550040007401891600606736";"DIVERSOS";"CAIXA";"1";"      4056,56";"         1,04";"15251115121491002735570080005348721250453390";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440243";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"729808";"04112025";"15251100776574194503550040007298081941967899";"DIVERSOS";"CAIXA";"1";"      5559,74";"          ,82";"15251115121491002735570080005268001321964100";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253083480183";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730904";"05112025";"15251100776574194503550040007309041958980710";"DIVERSOS";"CAIXA";"1";"      3542,88";"          ,53";"15251115121491002735570080005268181716798371";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440412";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730060";"04112025";"15251100776574194503550040007300601102284950";"DIVERSOS";"CAIXA";"1";"      4700,04";"          ,83";"15251115121491002735570080005268061512339742";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440465";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730120";"04112025";"15251100776574194503550040007301201154841249";"DIVERSOS";"CAIXA";"1";"      6579,74";"         1,26";"15251115121491002735570080005268231603698517";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
"6768902";;"04253073440465";"00776574194503";"AMERICANAS S.A. PA**";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"AMERICANAS S.A. LJ1435";"00776574050170";"54305055";"AVE DA AMIZADE";"CENTRO";"Tabatinga";"69640000";"1304062";"AMERICANAS S.A. PA**";"00776574194503";"158330242";"ROD BR 316 S/N KM 20 LOG BELEM BUSINESS PARK PARTE 1";"CANUTAMA";"Benevides";"68795000";"1501501";"2";"CIF";"4";"730102";"04112025";"15251100776574194503550040007301021150923811";"DIVERSOS";"CAIXA";"1";"      6579,74";"         1,26";"15251115121491002735570080005268231603698517";"19425431002252";"00776574050170";"JOS2822";"Cristiano Caires Bittencourt"
